name,lat_NS,long_EW,elevation,q,q_uncertainty,T_grad_mean,T_grad_uncertainty,T_grad_mean_cor,tc_mean,tc_uncertainty,total_depth_MD,geo_lithology,geo_stratigraphy,Region,Quality_Code
M POWERS,47.8817,-117.281,711.0,68.0,,24.0,,,2.8,,,,,,Ux.Mx.-------
MCKAY,45.88,-120.691,701.0,75.0,,52.0,,,1.4,,,,,,Ux.Mx.-------
MCKAY,45.88,-120.691,701.0,76.0,,53.0,,,1.4,,,,,,Ux.Mx.-------
MOSESLK,47.1633,-119.315,349.0,59.0,,37.0,,,1.6,,,,,,Ux.Mx.-------
MOSESLK,47.1633,-119.315,349.0,80.0,,50.0,,,1.6,,,,,,Ux.Mx.-------
O LEARY,45.8233,-120.816,506.0,30.0,,18.0,,,1.6,,,,,,Ux.Mx.-------
OXY-19,44.32,-111.453,1867.0,87.0,,52.0,,,1.6,,,,,,Ux.Mx.-------
OXY-19,44.32,-111.453,1867.0,108.0,,65.0,,,1.9,,,,,,Ux.Mx.-------
OXY-20,44.435,-111.488,1951.0,41.0,,25.0,,,1.6,,,,,,Ux.Mx.-------
OXY-20,44.435,-111.488,1951.0,25.0,,14.0,,,1.6,,,,,,Ux.Mx.-------
OXY-4,44.35,-112.015,1882.0,125.0,,67.0,,,1.9,,,,,,Ux.Mx.-------
OXY-4,44.35,-112.015,1882.0,41.0,,21.0,,,1.9,,,,,,Ux.Mx.-------
OXY-5B,44.4717,-111.863,2009.0,62.0,,32.0,,,1.9,,,,,,Ux.Mx.-------
OXY-6B,44.4633,-111.731,1981.0,121.0,,65.0,,,1.9,,,,,,Ux.Mx.-------
PATTEN,45.6117,-122.126,274.0,66.0,,63.0,,,1.0,,,,,,Ux.Mx.-------
PATTEN,45.6117,-122.126,274.0,58.0,,55.0,,,1.0,,,,,,Ux.Mx.-------
R HARLOW,46.7283,-117.22,781.0,36.0,,22.0,,,1.6,,,,,,Ux.Mx.-------
RDH,43.8117,-116.858,838.0,110.0,,62.0,,,1.8,,,,,,Ux.Mx.-------
RDH,42.7967,-115.258,962.0,104.0,,55.0,,,1.9,,,,,,Ux.Mx.-------
RDH-128,42.82,-116.028,914.0,111.0,,59.0,,,1.9,,,,,,Ux.Mx.-------
RDH-A,44.4783,-113.305,2298.0,94.0,,36.0,,,2.5,,,,,,Ux.Mx.-------
RDH-SU37,46.5317,-122.841,152.0,36.0,,33.0,,,1.1,,,,,,Ux.Mx.-------
RDH-SU37,46.5433,-122.846,152.0,36.0,,29.0,,,1.3,,,,,,Ux.Mx.-------
REYNOLDS,47.57,-120.155,1194.0,24.0,,14.0,,,1.7,,,,,,Ux.Mx.-------
ROM 1,46.615,-122.226,358.0,29.0,,26.0,,,1.1,,,,,,Ux.Mx.-------
SMU GM2,42.4183,-115.963,1647.0,32.0,,15.0,,,2.0,,,,,,Ux.Mx.-------
SMU GM3,42.215,-116.005,1801.0,51.0,,37.0,,,1.4,,,,,,Ux.Mx.-------
SMU GM4,42.3817,-115.99,1786.0,64.0,,37.0,,,1.7,,,,,,Ux.Mx.-------
SMU IB-6,44.5867,-115.515,2207.0,77.0,,20.0,,,3.8,,,,,,Ux.Mx.-------
SMU IB-7,44.5333,-115.973,1536.0,47.0,,12.0,,,3.8,,,,,,Ux.Mx.-------
SPAULD R,46.4083,-120.075,402.0,63.0,,39.0,,,1.6,,,,,,Ux.Mx.-------
SPAULDR,46.4083,-120.075,402.0,67.0,,42.0,,,1.6,,,,,,Ux.Mx.-------
SS-23,45.7733,-122.195,564.0,46.0,,16.0,,,2.8,,,,,,Ux.Mx.-------
SS-23,45.7733,-122.195,564.0,69.0,,24.0,,,2.8,,,,,,Ux.Mx.-------
SS-6,45.77,-122.198,539.0,81.0,,29.0,,,2.8,,,,,,Ux.Mx.-------
SS-6,45.77,-122.198,539.0,64.0,,22.0,,,2.9,,,,,,Ux.Mx.-------
SU-12,46.5383,-122.823,161.0,29.0,,27.0,,,1.1,,,,,,Ux.Mx.-------
SU-12,46.5383,-122.823,161.0,31.0,,21.0,,,1.5,,,,,,Ux.Mx.-------
SU-902,46.5267,-122.833,158.0,36.0,,24.0,,,1.5,,,,,,Ux.Mx.-------
SU-902,46.5267,-122.833,158.0,39.0,,22.0,,,1.8,,,,,,Ux.Mx.-------
TENNANT,45.755,-121.543,362.0,27.0,,17.0,,,1.6,,,,,,Ux.Mx.-------
TENNANT,45.755,-121.543,362.0,34.0,,21.0,,,1.6,,,,,,Ux.Mx.-------
